name,year,total_usage,peak_min,prev_max,post_max,is_peak
Brenda,1959,21424,19340,21726,19617,false
Brenda,1960,23976,19617,21453,17111,false
Brenda,1961,23791,17111,24320,15070,false
Brenda,1962,21286,15070,24320,13296,false
Brenda,1963,19617,13296,24320,11487,false
Brenda,1964,17111,11487,24320,9946,false
Brenda,1965,15070,9946,24320,8998,false
Brenda,1966,13296,8998,23976,8335,false
Brenda,1967,11487,8335,23976,7161,false
Brenda,1968,9946,7161,23976,6270,false
Brenda,1969,8998,6270,23791,5382,false
Brenda,1970,8335,5382,21286,4829,false
Brenda,1971,7161,4829,19617,4237,false
Brenda,1972,6270,4237,17111,3585,false
Brenda,1973,5382,3585,15070,3151,false
Brenda,1974,4829,3151,13296,2872,false
Brenda,1975,4237,2872,11487,2779,false
Brenda,1976,3585,2779,9946,2730,false
Brenda,1977,3151,2633,8998,2730,false
Brenda,1978,2872,2633,8335,2513,false
Brenda,1979,2779,2513,7161,2499,false
Brenda,1980,2633,2438,6270,2499,false
Brenda,1981,2730,2438,5382,2390,false
Brenda,1982,2513,2390,4829,2632,false
Brenda,1983,2438,2250,4237,2632,false
Brenda,1984,2499,2164,3585,2828,false
Brenda,1985,2390,2164,3151,2878,false
Brenda,1986,2250,2164,2872,2878,false
Brenda,1987,2164,2164,2779,2878,false
Brenda,1988,2290,2164,2730,2878,false
Brenda,1989,2286,2164,2730,2878,false
Brenda,1990,2632,2164,2513,2642,false
Brenda,1991,2632,2286,2499,2609,false
Brenda,1992,2828,2286,2499,2397,false
Brenda,1993,2878,2397,2390,2134,true
Brenda,1994,2642,2134,2632,2103,false
Brenda,1995,2609,2103,2632,1944,false
Brenda,1996,2397,1944,2828,1885,false
Brenda,1997,2134,1885,2878,1722,false
Brenda,1998,2103,1722,2878,1643,false
Brenda,1999,1944,1530,2878,1643,false
Brenda,2000,1885,1414,2878,1643,false
Brenda,2001,1722,1414,2878,1643,false
Brenda,2002,1530,1414,2642,1398,false
Brenda,2003,1414,1398,2609,1215,false
Brenda,2004,1631,1215,2397,941,false
Brenda,2005,1643,941,2134,743,false
Brenda,2006,1398,743,2103,696,false
Brenda,2007,1215,696,1944,523,false
Brenda,2008,941,492,1885,523,false
Brenda,2009,743,492,1722,399,false
Brenda,2010,696,399,1643,333,false
Brenda,2011,492,333,1643,301,false
Brenda,2012,523,301,1643,284,false
Brenda,2013,399,284,1643,235,false
Brenda,2014,333,235,1398,,false
Brenda,2015,301,235,1215,,false
Brenda,2016,284,235,941,,false
Brenda,2017,235,235,743,,false
David,1910,1243,1243,,6631,false
David,1911,1535,1243,,6719,false
David,1912,2851,1243,,7450,false
David,1913,3278,1243,,7777,false
David,1914,4251,1535,1243,7868,false
David,1915,5393,2851,1535,8240,false
David,1916,5808,3278,2851,8761,false
David,1917,6100,4251,3278,8923,false
David,1918,6631,5393,4251,9046,false
David,1919,6719,5808,5393,9435,false
David,1920,7450,6100,5808,10005,false
David,1921,7777,6631,6100,11329,false
David,1922,7868,6719,6631,12306,false
David,1923,8240,7450,6719,12306,false
David,1924,8761,7777,7450,12306,false
David,1925,8923,7868,7777,12306,false
David,1926,9046,8240,7868,14017,false
David,1927,9435,8761,8240,15672,false
David,1928,10005,8923,8761,17483,false
David,1929,11329,9046,8923,21000,false
David,1930,12306,9435,9046,22999,false
David,1931,11786,10005,9435,25398,false
David,1932,12143,11329,10005,27719,false
David,1933,12038,11786,11329,30577,false
David,1934,14017,11786,12306,35947,false
David,1935,15672,12038,12306,37296,false
David,1936,17483,12038,12306,37431,false
David,1937,21000,14017,12306,37431,false
David,1938,22999,15672,14017,46493,false
David,1939,25398,17483,15672,57853,false
David,1940,27719,21000,17483,57853,false
David,1941,30577,22999,21000,59668,false
David,1942,35947,25398,22999,60805,false
David,1943,37296,27719,25398,64864,false
David,1944,37431,30577,27719,71858,false
David,1945,37126,35947,30577,76189,false
David,1946,46493,37126,35947,79635,false
David,1947,57853,37126,37296,86339,false
David,1948,56685,37126,37431,86339,false
David,1949,59668,46493,37431,86339,false
David,1950,60805,56685,46493,86339,false
David,1951,64864,56685,57853,86339,false
David,1952,71858,59668,57853,86084,false
David,1953,76189,60805,59668,86084,false
David,1954,79635,64864,60805,86084,false
David,1955,86339,71858,64864,86084,false
David,1956,81696,76189,71858,86084,false
David,1957,82460,79635,76189,84938,false
David,1958,82729,81696,79635,81548,true
David,1959,84101,81548,86339,78644,false
David,1960,86084,78644,86339,75245,false
David,1961,84938,75245,86339,68029,false
David,1962,81548,68029,86339,67046,false
David,1963,78644,66604,86339,67046,false
David,1964,75245,66604,86084,63945,false
David,1965,68029,63941,86084,63945,false
David,1966,66604,63941,86084,61990,false
David,1967,67046,61990,86084,53315,false
David,1968,63941,53315,86084,46555,false
David,1969,63945,46555,84938,41983,false
David,1970,61990,41283,81548,41983,false
David,1971,53315,41283,78644,42304,false
David,1972,46555,39356,75245,42304,false
David,1973,41283,39356,68029,42304,false
David,1974,41983,39356,67046,42304,false
David,1975,39356,39356,67046,42304,false
David,1976,39460,39356,63945,42179,false
David,1977,40745,39356,63945,40836,false
David,1978,40873,39356,61990,40646,false
David,1979,42304,39460,53315,39469,false
David,1980,42179,39469,46555,38750,false
David,1981,40836,38659,41983,38750,false
David,1982,40646,38659,41983,37358,false
David,1983,39469,37358,42304,36988,false
David,1984,38659,36988,42304,35503,false
David,1985,38750,35503,42304,35303,false
David,1986,37358,35303,42304,33818,false
