name,window_fn,pct_ratio
Klaryssa,6.666666666666667,2.0
Jahnya,8.5,2.0
Almon,4.8181818181818183,2.0
Wylene,10.202959830866808,2.0
Marializ,162.0,2.125
Eshaan,79.64835164835165,2.5
Rahmel,13.465909090909092,2.5
Paralee,12.641025641025641,2.5
Tanish,18.386363636363637,3.0
Milliana,23.2,3.0
Sakina,16.130681818181817,3.0
Chassidy,249.35121951219512,3.375
Aurore,28.8625,3.5
Meliza,48.2807881773399,4.0
Annalicia,39.905263157894737,4.0
Jasean,48.969696969696969,4.0
Berenise,57.54,4.0
Alora,2351.47311827957,5.0
Malaika,124.18983957219251,5.5
Erline,141.89047619047619,6.5
Artis,373.1690755796447,10.0
Artie,2209.1316146540025,13.0
Tre,21388.353276353275,18.0
Aedan,5674.4904761904763,42.0
Annalee,6301.48,46.0
Rosetta,32792.588332302621,76.0
Nechuma,0.99583333333333335,1.5
Colin,1949238.5522772276,325.0
Anibal,332.71912280701753,9.25
Greysen,2533.3636363636365,9.25
Journie,1424.2666666666667,10.25
Tomika,6834.2605263157893,16.5
Ally,34793.581609195404,35.03125
Alaysia,5702.541538461538,13.28125
Nathanial,10401.406386066763,51.5
Otilia,25.358741258741258,3.0000000000000004
Makynzie,146.09090909090909,7.0000000000000009
Vraj,1.8095238095238095,1.5000000000000002
Finnley,36567.17424242424,52.250000000000007
Hilary,98763.701679731239,133.50000000000003
Latifah,5831.1911764705883,27.750000000000007
Alphonso,6126.26282051282,13.344444444444445
Frederic,4793.5726251665719,20.68888888888889
Markus,13339.392913802221,16.689473684210526
Chauncey,804.09518370454975,10.657142857142858
Shaul,38.174603174603178,3.8596491228070176
Serina,1264.3018867924529,6.0162162162162165
Meriam,15.0,2.88
Janyla,663.63809523809527,4.26
Jarad,251.53623188405797,8.02
Jabez,367.35238095238094,8.52
Nikisha,433.56410256410254,10.52
Harish,1.7,1.44
Slate,1.8095238095238095,1.44
Virgie,29632.396577380954,38.377952755905504
Dusten,31.764705882352942,3.3800000000000003
Dalena,44.677777777777777,3.8800000000000003
Ambrosia,32.410256410256409,3.8800000000000003
Reginaldo,4.9444444444444446,1.4400000000000002
Augustine,1839.7192800276912,2.6722222222222225
Ayari,79.9047619047619,2.1333333333333333
Aminah,4264.630121816168,16.066666666666666
Demetri,839.5737179487179,9.5797101449275353
Haydee,120.7296066252588,3.1726618705035969
Caidence,56.269230769230766,3.4615384615384612
Smantha,0.91666666666666663,1.3207547169811322
Maycee,1226.8842105263159,7.6418918918918912
Maryelizabeth,11.821479374110954,2.2600000000000002
Raveena,20.267857142857142,2.7600000000000002
Marilynne,33.18681318681319,3.7600000000000002
Avayah,68.476190476190482,4.5200000000000005
Naira,76.333333333333329,4.5200000000000005
Lucie,1035.19131614654,17.080000000000002
Annice,5.4678362573099415,1.8800000000000001
Donat,11.277777777777779,1.8800000000000003
Toshiko,233.92666666666668,6.4857142857142867
Marykate,270.19354838709677,9.5490196078431371
Haisley,5577.5,15.690476190476192
Evony,3.0277777777777777,1.7241379310344829
Jillian,1083201.4818295739,197.84057971014491
Zhuri,98.0,1.7777777777777779
Usher,167.31639928698752,6.9245283018867934
Keshon,250.26666666666668,7.2799999999999994
Janique,0.7,1.3199999999999998
Ronika,0.7,1.3199999999999998
Neiva,60.333333333333336,2.7647058823529416
Tadd,16.558823529411764,2.64
Adrielle,124.26666666666667,5.78
Knox,298852.58333333331,263.92
Maaz,65.696428571428569,3.1400000000000006
Anayely,22.666666666666668,2.2666666666666671
Tierney,761.71621621621625,11.816666666666668
Jered,1202.0756302521008,9.2857142857142847
Lavon,1087.6345013477089,14.785714285714285
Kasyn,95.872727272727275,4.1428571428571432
Keonna,169.65036231884059,7.1428571428571432
Shizuye,7.4761904761904763,1.7857142857142858
Loyd,36502.755450372919,75.285714285714292
Sammantha,403.81538461538463,8.6923076923076916
Bhavya,2.3333333333333335,1.4615384615384615
Eleanor,6496440.709155417,32.956018518518526
Shifra,110.7944947209653,4.7746478873239431
Christeen,245.88153310104531,8.58
Ashaki,4.5,1.3287671232876712
Lai,13.25,2.5200000000000005
Kandra,37.527777777777779,3.5200000000000005
Carmina,29.631578947368421,3.5200000000000005
Gerrit,57.192220714608773,5.0400000000000009
Tayah,124.22527472527473,6.0400000000000009
Coreen,150.13090418353576,7.0400000000000009
Samay,4.8,1.7600000000000002
Drevon,8.6190476190476186,1.7600000000000002
Evangelia,9.9261363636363633,1.7600000000000002
Ariya,22733.638095238097,31.1864406779661
Shanika,12369.205747126436,36.771428571428565
Eual,35.0,2.5873015873015874
Wayne,8476204.0507961232,30.690619469026551
Keelie,31.929166666666667,3.2727272727272729
Davyn,4.166666666666667,1.6363636363636365
Rhonda,12352416.512432432,816.81818181818187
Nia,111677.81972789115,24.47428571428571
Tyshae,3.7,1.6296296296296298
Tyrone,343594.04382716049,6.84297520661157
Rusty,29734.713981244673,32.887323943661968
Link,1187.7142857142858,10.971830985915492
Lashea,9.2380952380952372,2.4
Platon,12.0,2.4
Renetta,12.608225108225108,2.4
Aissata,14.4625,2.9
Jeanpierre,17.168253968253968,2.9
Myisha,118.32763532763532,3.4
Endia,83.769230769230774,3.4
Corwin,79.600784313725484,5.8
Adyn,358.37912087912088,5.8
Toivo,164.42916666666667,6.8
Cartier,599.56410256410254,7.3
Polina,174.12857142857143,7.8
Kaliah,416.25974025974028,9.1
Rowdy,504.016835016835,10.6
Rahul,2023.8340080971659,12.1
Aiza,1083.5897435897436,16.2
Lilliana,169037.193877551,108.8
Fredricka,1.1238095238095238,1.2
