year,name,total_usage
1930,Elizabeth,11009
1977,Elizabeth,16461
1973,Elizabeth,12365
1927,Elizabeth,12550
1994,Elizabeth,16796
1934,Elizabeth,9348
1915,Elizabeth,14103
1949,Elizabeth,13712
1917,Elizabeth,15127
2002,Elizabeth,14600
2004,Elizabeth,13608
1953,Elizabeth,16092
1929,Elizabeth,11272
1920,Elizabeth,15915
1940,Elizabeth,9956
1955,Elizabeth,16712
1971,Elizabeth,13627
2008,Elizabeth,12007
1964,Elizabeth,17296
1951,Elizabeth,15120
1958,Elizabeth,18540
1981,Elizabeth,20213
1957,Elizabeth,17505
1939,Elizabeth,9712
1967,Elizabeth,16140
1942,Elizabeth,11182
2014,Elizabeth,9557
1924,Elizabeth,14951
1975,Elizabeth,12491
1972,Elizabeth,12213
1991,Elizabeth,20434
1945,Elizabeth,10337
1941,Elizabeth,10271
2003,Elizabeth,14108
1995,Elizabeth,16198
1993,Elizabeth,17590
1932,Elizabeth,10010
1926,Elizabeth,12847
1938,Elizabeth,9805
2013,Elizabeth,9448
1948,Elizabeth,13213
2015,Elizabeth,9724
1937,Elizabeth,9393
1979,Elizabeth,18115
1946,Elizabeth,11752
1968,Elizabeth,14904
1974,Elizabeth,12294
1987,Elizabeth,18672
2001,Elizabeth,14784
1952,Elizabeth,16023
1961,Elizabeth,18878
1913,Elizabeth,9503
1959,Elizabeth,18451
1919,Elizabeth,15285
1989,Elizabeth,20396
2006,Elizabeth,12425
1984,Elizabeth,20409
1999,Elizabeth,15341
1912,Elizabeth,8520
1992,Elizabeth,19066
1966,Elizabeth,15904
1986,Elizabeth,19123
1983,Elizabeth,19896
1985,Elizabeth,20594
1962,Elizabeth,17814
1997,Elizabeth,15427
1936,Elizabeth,8870
1980,Elizabeth,19557
1925,Elizabeth,13935
1988,Elizabeth,20094
1918,Elizabeth,15858
1943,Elizabeth,11646
1935,Elizabeth,9093
1947,Elizabeth,13441
1965,Elizabeth,16338
2000,Elizabeth,15099
2017,Elizabeth,8915
1956,Elizabeth,16340
1922,Elizabeth,15248
1978,Elizabeth,16850
1982,Elizabeth,20558
1969,Elizabeth,15314
1928,Elizabeth,11778
1944,Elizabeth,11038
1960,Elizabeth,18880
1921,Elizabeth,15810
1914,Elizabeth,11375
1998,Elizabeth,15186
1970,Elizabeth,15152
1916,Elizabeth,14945
1963,Elizabeth,17610
1933,Elizabeth,9019
1954,Elizabeth,16587
2005,Elizabeth,12729
2011,Elizabeth,10084
2007,Elizabeth,13055
2012,Elizabeth,9703
1920,Ryan,5
1934,Ryan,5
1945,Ryan,5
1921,Ryan,6
1925,Ryan,6
1946,Ryan,17
1948,Ryan,17
2013,Ryan,10260
2010,Elizabeth,10260
1942,Nathan,487
1938,Nathan,487
